LOGO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RAW MILL BAG HOUSE GROUP,,,,,,,,,,,,,,
Hourly Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TAG,A_441FN1_PT02,B_421BF1_PT01,C_421BF1_TT_AVG,D_361LD3_ZT,E_421BF1_TT02,F_421BF1_DP,G_421BF1_PT04,H_391CV2_II,I_421FN1_SZ,J_421FN1_KW_EM,K_361GA1_O2,L_361GA1_SO,M_361GA1_NO,N_361GA1_DM
TAG DES,PRE-HEATER FAN O/L DRAFT,BAG HOUSE I/L DRAFT,BAG HOUSE I/L TEMP AVG,BAG HOUSE I/L DAMPER,BAG HOUSE O/L TEMP,BAG HOUSE DP,BAG HOUSE AIR COMPRESSOR PRESSURE,CHAIN CONVEYOR,BAG HOUSE FAN RPM,RABH  KW,STACK O2,STACK SOX,STACK NOX,STACK EMMISION
UNIT,mmWc,mmWc,°C,%,°C,mmWc,mmWc,Amp,rpm,kw,ppm,ppm,ppm,mg/Nm³
06/01/2019 00:00:00,-29.9,-13.8,0.0,79.1,98.5,93.5,6.0,8.6,462.2,204.3,8.1,0.6,624.8,6.9
06/01/2019 01:00:00,-30.1,-14.2,0.0,79.1,100.0,97.0,5.9,8.7,469.6,213.6,8.2,0.6,646.6,7.1
06/01/2019 02:00:00,-30.2,-13.4,0.0,79.1,98.8,96.8,5.8,8.7,464.4,208.4,8.3,0.6,641.6,7.0
06/01/2019 03:00:00,-29.3,-14.1,0.0,79.1,97.7,102.4,5.8,8.9,481.9,233.5,8.1,0.6,671.4,7.3
06/01/2019 04:00:00,-29.6,-30.6,0.0,99.3,126.7,103.3,5.8,8.7,566.8,338.5,9.4,0.6,585.2,8.5
06/01/2019 05:00:00,-31.2,-20.0,0.0,73.9,119.1,85.1,5.9,8.4,472.8,209.9,8.4,0.5,621.5,7.1
06/01/2019 06:00:00,-30.4,-13.2,0.0,91.0,84.5,91.2,5.8,8.7,453.7,198.1,8.8,0.6,494.7,6.8
06/01/2019 07:00:00,-29.6,-11.9,0.0,94.4,69.8,90.7,5.6,8.7,432.0,173.5,10.1,0.6,465.9,6.5
06/01/2019 08:00:00,-30.2,-14.5,0.0,78.3,70.8,95.4,5.9,8.9,449.4,193.6,9.0,0.6,568.5,6.8
06/01/2019 09:00:00,-29.8,-13.5,0.0,78.3,77.3,94.5,6.0,8.9,448.0,191.7,8.9,0.6,600.4,6.7
06/01/2019 10:00:00,-29.6,-13.0,0.0,78.3,80.5,98.3,5.9,8.7,451.3,196.0,8.8,0.6,657.9,6.8
06/01/2019 11:00:00,-30.3,-15.9,0.0,78.3,85.8,99.2,5.9,8.9,474.6,223.3,8.4,0.7,666.5,7.1
06/01/2019 12:00:00,-30.3,-14.1,0.0,78.3,86.2,90.5,6.1,8.7,453.5,196.6,8.5,0.7,680.1,6.8
06/01/2019 13:00:00,-30.0,-11.4,0.0,90.1,100.0,98.1,5.9,8.8,452.6,198.0,8.1,0.6,714.9,6.8
06/01/2019 14:00:00,-30.1,-12.8,0.0,100.0,98.1,95.9,6.0,8.8,456.0,200.3,8.5,0.6,688.7,6.9
06/01/2019 15:00:00,-30.2,-12.6,0.0,100.0,94.2,98.2,6.0,8.9,454.6,198.5,8.6,0.6,644.5,6.8
06/01/2019 16:00:00,-29.8,-13.3,0.0,100.0,93.1,96.9,5.6,8.8,457.5,203.6,8.3,0.6,620.3,6.9
06/01/2019 17:00:00,-30.0,-15.6,0.0,100.0,98.4,94.9,5.8,8.8,485.9,234.6,8.6,0.5,613.9,7.3
06/01/2019 18:00:00,-30.4,-14.1,0.0,100.0,98.0,89.3,5.9,8.8,459.0,202.7,8.5,0.6,616.9,6.9
06/01/2019 19:00:00,-29.5,-13.9,0.0,100.0,97.4,108.1,5.9,9.0,481.9,234.5,8.7,0.5,632.5,7.3
06/01/2019 20:00:00,-30.2,-12.4,0.0,100.0,98.1,91.9,6.0,8.7,450.3,191.8,8.6,0.5,600.9,6.8
06/01/2019 21:00:00,-30.0,-12.2,0.0,100.0,92.3,94.4,5.9,8.9,445.5,188.2,8.6,0.6,591.5,6.7
06/01/2019 22:00:00,-29.9,-12.2,0.0,100.0,92.8,96.7,5.9,8.9,453.3,196.7,8.5,0.6,609.8,6.8
06/01/2019 23:00:00,-30.2,-12.8,0.0,100.0,93.0,97.7,5.9,8.9,457.3,200.9,8.6,0.4,630.3,6.9
06/02/2019 00:00:00,-29.8,-12.1,0.0,100.0,95.4,96.2,5.8,8.9,451.7,194.6,8.6,0.5,684.2,6.8
06/02/2019 01:00:00,-30.2,-12.0,0.0,100.0,95.7,93.1,5.8,8.9,447.3,189.7,8.4,0.6,704.0,6.7
06/02/2019 02:00:00,-29.4,-11.5,0.0,100.0,92.0,94.4,5.8,8.9,446.6,190.9,8.5,0.6,685.2,6.7
06/02/2019 03:00:00,-30.2,-14.4,0.0,100.0,93.5,98.0,5.7,9.1,481.7,230.7,8.5,0.6,708.6,7.2
06/02/2019 04:00:00,-29.8,-14.3,0.0,100.0,94.4,94.8,5.9,8.8,480.4,227.6,8.4,0.5,690.5,7.2
06/02/2019 05:00:00,-30.3,-11.0,0.0,100.0,90.9,91.9,5.9,8.8,440.0,181.4,8.8,0.6,656.4,6.6
06/02/2019 06:00:00,-30.0,-11.1,0.0,100.0,85.7,97.8,5.9,9.0,448.8,193.4,8.7,0.5,672.8,6.7
06/02/2019 07:00:00,-29.6,-12.7,0.0,100.0,76.8,96.4,5.8,9.0,461.4,208.1,8.7,0.6,685.0,6.9
06/02/2019 08:00:00,-30.7,-19.7,0.0,100.0,88.9,89.8,5.8,8.9,471.3,214.4,8.6,0.7,710.4,7.1
06/02/2019 09:00:00,-30.0,-13.7,0.0,100.0,84.3,92.6,5.9,8.7,462.8,204.4,9.1,0.6,666.7,7.0
06/02/2019 10:00:00,-29.9,-13.1,0.0,100.0,82.3,93.0,5.9,8.8,460.2,204.0,9.0,0.7,661.4,6.9
06/02/2019 11:00:00,-29.9,-13.0,0.0,100.0,79.7,93.1,6.0,8.9,455.8,200.8,8.8,0.7,692.5,6.8
06/02/2019 12:00:00,-29.8,-12.5,0.0,100.0,82.5,99.9,5.9,8.9,461.7,208.4,8.6,0.6,700.0,6.9
06/02/2019 13:00:00,-29.9,-12.6,0.0,100.0,84.6,93.6,5.9,8.8,456.6,201.5,8.8,0.6,677.3,6.9
06/02/2019 14:00:00,-29.7,-13.2,0.0,100.0,85.0,97.2,5.9,8.9,468.8,216.9,8.8,0.6,677.6,7.1
06/02/2019 15:00:00,-30.1,-15.3,0.0,100.0,89.9,99.6,5.9,8.9,487.0,238.1,8.7,0.7,682.2,7.3
06/02/2019 16:00:00,-30.1,-12.2,0.0,100.0,87.7,91.7,6.0,8.7,451.0,194.9,8.7,0.7,678.6,6.8
06/02/2019 17:00:00,-30.0,-11.2,0.0,93.4,84.7,94.0,5.9,8.9,447.6,192.1,8.5,0.7,686.4,6.7
06/02/2019 18:00:00,-30.0,-11.4,0.0,93.7,86.4,96.3,5.9,9.0,454.9,200.8,9.0,0.7,665.3,6.8
06/02/2019 19:00:00,-30.0,-10.7,0.0,88.0,86.5,98.1,6.0,8.9,452.2,198.3,8.7,0.7,669.4,6.8
06/02/2019 20:00:00,-30.0,-10.5,0.0,79.2,86.9,98.8,5.9,9.0,448.3,194.0,8.5,0.7,693.0,6.7
06/02/2019 21:00:00,-29.9,-11.3,0.0,79.2,87.6,96.8,5.9,9.0,462.3,210.4,8.7,0.6,710.5,7.0
06/02/2019 22:00:00,-30.4,-13.3,0.0,79.2,90.4,97.7,5.9,8.9,472.0,220.5,8.3,0.6,657.9,7.1
06/02/2019 23:00:00,-29.8,-9.0,0.0,79.2,86.7,87.6,6.0,8.9,428.8,170.8,8.6,0.6,636.8,6.4
06/03/2019 00:00:00,-29.8,-24.2,0.0,99.0,117.7,97.4,5.9,8.8,452.5,186.8,6.6,0.6,758.2,6.8
06/03/2019 01:00:00,-30.0,-33.3,0.0,100.0,150.1,95.7,6.0,8.5,474.1,199.3,6.0,0.5,798.7,7.1
06/03/2019 02:00:00,-29.9,-33.6,0.0,100.0,150.2,90.6,6.0,8.5,472.9,195.1,5.9,0.6,799.6,7.1
06/03/2019 03:00:00,-30.5,-34.3,0.0,100.0,150.9,95.4,6.0,8.6,478.3,201.1,6.0,0.4,771.3,7.2
06/03/2019 04:00:00,-29.2,-34.9,0.0,100.0,151.1,96.5,6.0,8.7,489.8,216.0,5.7,0.4,799.1,7.3
06/03/2019 05:00:00,-30.2,-31.2,0.0,89.9,137.9,94.4,5.9,8.8,522.5,265.5,8.4,0.5,696.6,7.8
06/03/2019 06:00:00,-30.5,-23.3,0.0,79.2,98.7,89.2,6.0,8.5,467.2,209.0,8.8,0.5,659.5,7.0
06/03/2019 07:00:00,-29.9,-16.9,0.0,79.2,81.2,96.3,6.0,8.6,450.1,195.4,8.6,0.5,673.6,6.8
06/03/2019 08:00:00,-29.9,-14.9,0.0,79.2,69.3,93.3,6.0,8.7,446.6,192.0,8.4,0.6,696.7,6.7
06/03/2019 09:00:00,-30.3,-14.2,0.0,79.2,76.0,97.6,6.0,8.8,454.1,200.5,8.4,0.6,737.3,6.8
06/03/2019 10:00:00,-30.2,-14.0,0.0,79.2,81.7,96.9,6.0,9.0,452.8,197.6,10.1,0.5,653.6,6.8
06/03/2019 11:00:00,-30.1,-14.5,0.0,79.2,83.5,92.8,6.1,8.8,455.5,200.0,9.5,0.5,620.9,6.9
06/03/2019 12:00:00,-30.3,-11.9,0.0,79.2,81.2,95.8,6.1,8.8,438.9,182.4,8.9,0.6,709.0,6.6
06/03/2019 13:00:00,-30.1,-10.3,0.0,79.2,79.5,97.1,6.0,8.8,432.9,176.5,9.2,0.7,679.7,6.5
06/03/2019 14:00:00,-34.0,-10.2,0.0,79.2,77.3,87.2,6.0,8.8,405.9,147.9,9.8,0.6,609.1,6.1
06/03/2019 15:00:00,-42.9,-12.6,0.0,79.1,71.4,93.2,6.1,8.8,391.9,135.1,10.7,0.6,589.2,5.9
06/03/2019 16:00:00,-37.0,-9.0,0.0,71.3,70.0,98.4,6.1,8.8,392.0,135.9,10.7,0.6,599.5,5.9
06/03/2019 17:00:00,-32.7,-7.7,0.0,87.7,80.3,103.0,6.0,9.1,423.0,157.1,12.9,0.5,469.4,6.3
06/03/2019 18:00:00,-29.3,-25.5,0.0,100.0,121.4,103.7,6.0,8.8,529.3,318.7,15.1,1.2,384.6,8.0
06/03/2019 19:00:00,-27.6,-19.6,0.0,100.0,141.0,99.8,6.1,8.3,533.3,262.7,12.6,0.5,607.5,8.0
06/03/2019 20:00:00,-26.5,-40.0,0.0,100.0,142.3,118.2,5.9,8.5,683.5,531.3,14.0,0.4,510.2,10.2
06/03/2019 21:00:00,-25.5,-45.0,0.0,100.0,139.0,126.2,5.9,8.6,698.9,569.6,14.2,0.4,473.2,10.5
06/03/2019 22:00:00,-29.8,-38.9,0.0,100.0,133.8,97.5,6.0,8.6,567.0,356.7,11.7,0.6,584.5,8.4
06/03/2019 23:00:00,-30.9,-29.4,0.0,100.0,156.4,90.3,6.3,8.6,482.4,207.8,7.2,0.5,792.1,7.2
06/04/2019 00:00:00,-29.9,-29.0,0.0,100.0,161.0,98.5,6.3,8.5,489.2,212.0,6.3,0.5,859.5,7.4
06/04/2019 01:00:00,-29.5,-28.2,0.0,100.0,157.0,101.3,6.1,8.7,502.5,232.2,6.8,0.5,854.1,7.6
06/04/2019 02:00:00,-30.4,-24.5,0.0,70.6,111.0,95.4,6.0,8.7,518.7,269.5,9.0,0.5,735.3,7.8
06/04/2019 03:00:00,-30.6,-20.3,0.0,76.1,93.2,96.6,6.0,8.7,489.9,240.2,9.1,0.5,743.1,7.4
06/04/2019 04:00:00,-30.0,-13.7,0.0,76.1,88.1,98.0,6.0,8.6,471.9,220.9,9.1,0.6,762.4,7.1
06/04/2019 05:00:00,-30.1,-12.2,0.0,76.2,88.7,92.3,6.1,8.6,461.7,207.9,9.0,0.5,770.1,6.9
06/04/2019 06:00:00,-30.1,-12.3,0.0,76.1,87.0,97.3,6.1,8.7,471.7,219.7,9.2,0.5,761.1,7.1
06/04/2019 07:00:00,-25.8,-15.1,0.0,88.4,85.2,108.8,5.9,8.8,502.9,266.4,9.8,0.6,722.8,7.6
06/04/2019 08:00:00,-24.7,-22.6,0.0,100.0,107.7,96.2,6.0,8.4,536.2,293.6,9.7,0.6,740.9,8.0
06/04/2019 09:00:00,-25.5,-30.1,0.0,100.0,137.7,91.1,6.1,8.3,485.9,218.4,6.0,0.6,965.7,7.3
06/04/2019 10:00:00,-25.0,-36.6,0.0,100.0,153.8,96.4,6.1,8.5,526.1,261.6,5.8,0.6,968.2,7.9
06/04/2019 11:00:00,-25.3,-35.0,0.0,100.0,152.2,89.6,6.1,8.6,504.7,232.6,5.6,0.6,980.6,7.6
06/04/2019 12:00:00,-25.0,-32.0,0.0,100.0,154.4,97.5,6.0,8.8,499.7,224.7,5.5,0.5,945.0,7.5
06/04/2019 13:00:00,-25.1,-30.0,0.0,100.0,159.9,95.8,6.1,8.6,494.8,217.8,5.6,0.7,936.1,7.4
06/04/2019 14:00:00,-25.0,-31.4,0.0,100.0,159.8,95.7,6.1,8.7,497.0,220.2,5.4,0.8,916.6,7.5
06/04/2019 15:00:00,-24.6,-38.4,0.0,100.0,159.3,99.0,6.0,8.9,539.7,277.3,5.8,0.7,826.3,8.1
06/04/2019 16:00:00,-25.6,-37.6,0.0,100.0,160.6,92.9,6.1,8.6,525.7,257.8,5.9,0.7,802.9,7.9
06/04/2019 17:00:00,-24.6,-31.4,0.0,100.0,159.6,90.9,6.1,8.6,491.8,215.1,5.5,0.7,818.2,7.4
06/04/2019 18:00:00,-25.5,-34.8,0.0,100.0,160.6,98.5,6.0,8.8,518.4,249.3,5.6,0.7,797.3,7.8
06/04/2019 19:00:00,-25.3,-32.3,0.0,100.0,162.2,94.7,6.1,8.6,500.3,224.4,5.4,0.7,843.9,7.5
06/04/2019 20:00:00,-24.8,-31.7,0.0,100.0,161.0,93.5,6.1,8.6,501.4,226.1,5.5,0.7,873.2,7.5
06/04/2019 21:00:00,-24.8,-31.6,0.0,100.0,162.7,98.3,6.1,8.7,506.4,232.0,5.4,0.6,849.5,7.6
06/04/2019 22:00:00,-24.8,-30.9,0.0,100.0,163.1,96.3,6.1,8.7,499.8,224.5,5.5,0.6,844.4,7.5
06/04/2019 23:00:00,-24.7,-33.7,0.0,100.0,162.2,98.3,6.1,8.7,520.7,251.5,5.6,0.7,835.6,7.8
06/05/2019 00:00:00,-25.1,-34.8,0.0,100.0,161.7,95.1,6.1,8.6,515.9,245.1,5.4,0.7,815.7,7.8
06/05/2019 01:00:00,-25.3,-32.7,0.0,78.0,145.8,104.9,6.0,8.9,556.9,313.3,7.6,0.7,714.4,8.4
06/05/2019 02:00:00,-25.1,-29.3,0.0,51.9,99.9,91.0,6.1,8.4,499.2,248.8,9.0,0.6,641.1,7.5
06/05/2019 03:00:00,-25.6,-23.8,0.0,61.3,95.4,94.1,6.0,8.7,491.8,242.0,8.8,0.5,631.6,7.4
06/05/2019 04:00:00,-24.6,-20.3,0.0,58.7,97.2,99.0,6.0,8.6,492.6,243.3,8.5,0.5,621.5,7.4
06/05/2019 05:00:00,-24.8,-21.1,0.0,53.9,95.6,97.7,6.0,8.6,498.2,251.8,9.0,0.5,598.3,7.5
06/05/2019 06:00:00,-25.7,-28.2,0.0,53.9,93.5,103.4,5.9,8.7,539.7,318.1,9.5,0.5,556.4,8.1
06/05/2019 07:00:00,-24.8,-18.9,0.0,54.0,79.2,93.9,6.1,8.6,488.9,239.5,9.0,0.6,556.8,7.4
06/05/2019 08:00:00,-25.3,-18.9,0.0,54.0,73.0,94.7,6.0,8.7,489.5,240.7,9.1,0.6,550.9,7.4
06/05/2019 09:00:00,-24.3,-27.5,0.0,54.0,83.0,114.7,5.9,8.7,561.8,355.6,9.2,0.6,549.0,8.4
06/05/2019 10:00:00,-26.1,-27.3,0.0,57.3,91.4,108.5,5.9,8.6,555.1,344.7,9.6,0.6,548.4,8.4
06/05/2019 11:00:00,-24.8,-12.5,0.0,79.2,95.4,91.1,6.1,8.5,469.8,212.0,8.4,0.7,570.3,7.1
06/05/2019 12:00:00,-25.1,-12.5,0.0,81.4,99.5,98.4,6.0,8.7,481.3,226.2,8.2,0.6,593.6,7.2
06/05/2019 13:00:00,-24.8,-12.4,0.0,81.4,99.2,94.1,6.1,8.6,477.4,221.0,8.3,0.6,559.4,7.2
06/05/2019 14:00:00,-25.1,-12.7,0.0,81.4,101.8,97.7,6.0,8.7,483.7,228.4,8.5,0.7,562.0,7.3
06/05/2019 15:00:00,-24.7,-14.7,0.0,92.4,106.3,98.9,6.0,8.7,509.3,261.6,8.1,0.7,575.3,7.7
