LOGO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KILN PERFORMANCE PROFILE,,,,,,,,,,,,,,
Hourly Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TAG,A_431FM1_F1,B_431FM2_F1,C_431BE1_JT,D_441CN1A_1B_TT01,E_451PC1_TT01,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,L_471BU1_FT01,M_471BU1_PT01,N_461KL1_AT_NO
TAG DES,Kiln Feed,Kiln Feed,Kiln Feed BE KW,PH O/L TEMP.,Calciner Outlet Temp (TC)',TERITIARY AIR TEMP,Kiln I/L Temp,BURNING ZONE TEMP,Kiln rpm,Kiln current,kiln M.DRIVE POWER,PRIMARY AIR FLOW,PRIMARY AIR PRESSURE,Kiln I/L Gas Analyser NO
UNIT,tph,tph,Kw,°C,°C,°C,°C,°C,rpm,A,Kw,tph,mmWc,ppm
06/01/2019 00:00:00,0.0,299.4,102.0,354.4,962.2,974.1,1153.9,1135.5,5.0,388.0,383.3,3103.1,2398.6,283.7
06/01/2019 01:00:00,0.0,300.1,101.7,353.5,954.7,981.9,1147.5,1141.8,5.0,399.5,397.7,3096.4,2398.7,328.2
06/01/2019 02:00:00,0.0,299.6,101.8,351.7,958.6,985.4,1157.7,1134.9,5.0,400.5,394.8,3083.9,2402.6,265.0
06/01/2019 03:00:00,0.0,300.0,101.7,349.0,951.4,990.9,1143.0,1123.4,5.0,398.7,396.3,3077.8,2398.8,299.5
06/01/2019 04:00:00,0.0,299.7,101.3,348.4,950.5,983.2,1136.1,1111.8,5.0,393.2,386.7,3072.2,2401.4,173.4
06/01/2019 05:00:00,0.0,299.7,101.9,347.7,952.3,992.2,1154.0,1092.4,5.0,391.6,385.8,3074.3,2401.6,322.4
06/01/2019 06:00:00,0.0,268.9,95.0,356.6,972.7,932.9,1169.6,1018.6,4.2,407.6,341.1,3074.3,2401.5,232.9
06/01/2019 07:00:00,0.0,226.0,82.5,382.6,972.2,910.2,1132.8,1086.8,3.3,478.1,347.1,3077.3,2401.8,428.8
06/01/2019 08:00:00,0.0,260.6,92.9,363.3,952.6,1002.4,1157.0,1169.0,4.5,422.8,393.9,3109.5,2399.8,185.1
06/01/2019 09:00:00,0.0,261.6,93.4,360.2,952.6,978.8,1150.4,1098.8,4.4,385.0,341.7,3121.7,2396.4,379.0
06/01/2019 10:00:00,0.0,260.6,93.1,362.3,952.5,941.4,1112.5,1119.9,4.1,396.2,327.0,3120.2,2396.2,289.1
06/01/2019 11:00:00,0.0,260.4,92.8,358.4,963.1,961.2,1100.7,1194.4,4.3,401.0,348.8,3114.2,2385.6,416.4
06/01/2019 12:00:00,0.0,263.8,93.4,358.2,963.3,1001.0,1091.8,1352.6,4.9,384.2,373.8,3126.6,2375.5,545.2
06/01/2019 13:00:00,0.0,278.6,97.7,351.6,950.5,987.8,1124.0,1045.8,5.0,389.6,378.6,3120.0,2400.8,412.9
