LOGO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PRE-HEATER DRAFT PROFILE,,,,,,,,,,,,,,
Hourly Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TAG,A_431FM1_F1,B_431FM2_F1,C_431BE1_JT,D_441FN1_PT01,E_441CN1A_1B_PT01,F_441CN1A_PT03,G_441CN1B_PT03,H_441CN2_PT01,I_441CN3_PT01,J_441CN4_PT01,K_441CN5_PT01,L_451PC1_PT01,M_451PC1_PT03,N_461KL1_PT01
TAG DES,Kiln Feed,Kiln Feed,Kiln Feed BE KW,PH Fan Inlet Pressure,PH O/L DRAFT COMMON POINT,Cylone -1A Gas Outlet Pressure,Cylone -1B Gas outlet Pressure,Cylone -2 Gas Outlet Pressure,Cylone -3 Gas Outlet Pressure,Cyc 4 O/L Draft,Cylone -5 Gas Outlet Pressure,Calciner Outlet Pressure,Calciner Intlet Pressure,Kiln Inlet Pressure
UNIT,tph,tph,Kw,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc
06/01/2019 00:00:00,0.1,304.4,103.9,-618.3,-516.9,-473.5,-467.7,-423.0,-338.7,-309.3,-269.9,-154.2,-42.4,-42.6
06/01/2019 01:00:00,0.1,305.7,102.5,-616.8,-515.4,-470.5,-469.7,-415.3,-340.6,-308.2,-267.5,-154.1,-39.1,-48.0
06/01/2019 02:00:00,0.1,303.9,102.5,-604.5,-505.2,-463.3,-460.3,-413.1,-334.3,-303.9,-264.7,-153.7,-37.3,-46.6
06/01/2019 03:00:00,0.1,304.2,102.5,-597.9,-503.0,-463.5,-457.9,-410.4,-337.3,-304.4,-265.5,-156.2,-42.3,-44.4
06/01/2019 04:00:00,0.1,304.3,102.5,-605.9,-506.6,-466.7,-460.2,-407.5,-333.7,-305.5,-262.9,-152.0,-34.0,-39.3
06/01/2019 05:00:00,0.1,305.7,103.9,-608.9,-510.2,-468.3,-464.0,-417.4,-344.4,-312.1,-276.3,-162.0,-38.5,-50.6
06/01/2019 06:00:00,0.1,303.4,103.9,-468.4,-379.3,-344.5,-336.2,-304.7,-244.8,-217.0,-192.8,-100.3,-38.8,-33.3
06/01/2019 07:00:00,0.1,253.7,91.1,-382.0,-334.6,-303.2,-301.3,-267.1,-218.0,-194.8,-171.0,-86.6,-30.2,-29.4
06/01/2019 08:00:00,0.1,268.3,95.4,-523.6,-426.7,-393.2,-391.1,-351.5,-284.8,-257.3,-223.1,-127.4,-35.9,-33.4
06/01/2019 09:00:00,0.1,268.1,95.4,-544.8,-448.7,-412.4,-408.6,-365.6,-299.0,-267.6,-236.8,-129.3,-37.3,-25.7
06/01/2019 10:00:00,0.1,264.9,93.9,-516.1,-426.5,-390.4,-388.0,-346.6,-289.4,-253.1,-220.4,-121.0,-38.7,-28.7
06/01/2019 11:00:00,0.1,264.8,93.9,-496.8,-413.9,-377.7,-377.1,-336.0,-272.8,-240.9,-205.1,-108.4,-34.5,-21.4
06/01/2019 12:00:00,0.1,278.1,96.8,-497.2,-411.7,-371.4,-371.9,-327.1,-271.2,-239.4,-200.8,-113.8,-36.6,-21.2
06/01/2019 13:00:00,0.1,283.5,99.6,-544.6,-450.6,-409.2,-342.0,-366.5,-309.2,-261.5,-219.9,-127.9,-31.4,-24.0
06/01/2019 14:00:00,0.1,284.7,98.2,-512.1,-459.5,-422.0,-416.0,-364.2,-315.1,-267.6,-219.0,-135.6,-31.9,-21.8
06/01/2019 15:00:00,0.1,283.6,98.2,-571.3,-480.6,-437.0,-429.2,-385.4,-321.2,-276.7,-238.9,-135.8,-40.2,-34.4
06/01/2019 16:00:00,0.1,284.3,98.2,-549.2,-474.4,-432.7,-422.0,-386.5,-322.0,-281.7,-243.3,-145.6,-35.6,-34.4
06/01/2019 17:00:00,0.1,284.3,98.2,-556.6,-466.2,-431.6,-420.6,-380.6,-314.9,-280.4,-243.6,-143.6,-38.8,-30.9
06/01/2019 18:00:00,0.1,283.5,99.6,-563.5,-467.3,-431.8,-425.5,-374.8,-308.3,-277.6,-230.9,-137.7,-34.1,-37.6
06/01/2019 19:00:00,0.1,283.2,98.2,-562.8,-469.0,-430.2,-422.2,-376.0,-308.6,-274.6,-232.6,-137.0,-39.0,-36.0
06/01/2019 20:00:00,0.1,284.5,99.6,-560.1,-469.2,-429.2,-424.3,-377.1,-313.1,-277.3,-239.6,-135.5,-37.9,-34.4
06/01/2019 21:00:00,0.1,283.2,98.2,-565.2,-474.2,-433.2,-424.9,-371.8,-315.0,-276.9,-235.1,-139.6,-36.6,-37.3
06/01/2019 22:00:00,0.1,288.5,98.2,-575.3,-470.7,-433.3,-432.6,-381.5,-320.3,-280.7,-234.7,-141.0,-35.8,-39.0
06/01/2019 23:00:00,0.1,284.0,98.2,-570.8,-473.9,-433.7,-427.9,-389.6,-319.0,-278.4,-240.7,-139.0,-39.0,-27.5
06/02/2019 00:00:00,0.1,284.5,98.2,-579.1,-484.0,-442.0,-438.3,-394.3,-330.6,-286.6,-249.2,-143.4,-39.4,-39.7
06/02/2019 01:00:00,0.1,284.0,98.2,-579.6,-486.7,-448.8,-439.5,-389.2,-331.4,-292.0,-249.8,-144.7,-34.2,-38.6
06/02/2019 02:00:00,0.1,283.0,98.2,-565.5,-477.0,-440.9,-433.0,-380.2,-324.8,-284.0,-246.0,-139.2,-33.7,-41.5
06/02/2019 03:00:00,0.1,283.1,98.2,-573.3,-480.9,-441.0,-436.3,-385.1,-325.6,-286.7,-240.2,-141.3,-38.0,-42.4
06/02/2019 04:00:00,0.1,284.3,98.2,-572.3,-480.6,-440.2,-429.0,-385.1,-318.8,-282.1,-241.0,-142.2,-38.8,-40.8
06/02/2019 05:00:00,0.1,284.0,98.2,-574.9,-479.6,-440.4,-435.2,-386.5,-320.7,-284.3,-244.0,-141.7,-40.7,-41.8
06/02/2019 06:00:00,0.1,283.9,98.2,-573.2,-479.5,-437.6,-432.7,-386.0,-319.1,-284.2,-243.7,-139.5,-33.0,-41.7
