LOGO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pre-Heater Fan Performance Profile,,,,,,,,,,,,,,
Hourly Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TAG,A_431FM1_F1,B_431FM2_F1,C_431BE1_JT,D_481FM3_FI,E_481FM1_FI,F_481FM2_FI,G_441FN1_TT01,H_441FN1_PT01,I_441FN1_TT02,J_441CN1A_1B_PT01,K_461KL1_PT01,L_441FN1_SZ,M_441FN1_KW_EM,N_441FN1_SPC_POWER
TAG DES,Kiln Feed,Kiln Feed,Kiln Feed BE KW,Kiln  COAL TPH,PC COAL TPH,PC COAL FIRING,PH FAN I/L TEMP,PH Fan Inlet Pressure (PT),PH Fan O/L Temp,PH Fan Outlet DRAFT,Kiln Inlet Pressure (PT),PH Fan speed,PH Fan power EM,PH SPECIFIC POWER
UNIT,tph,tph,Kw,tph,tph,TPH,°C,mmWc,°C,mmWc,mmWc,rpm,Kw,Kw/T Clk
06/01/2019 00:00:00,0.0,299.4,102.0,7.3,10.6,0.0,194.4,-629.4,203.5,-527.7,-64.1,778.4,1098.1,4.2
06/01/2019 01:00:00,0.0,300.1,101.7,7.4,10.6,0.0,194.8,-628.5,200.6,-525.7,-63.1,778.3,1097.8,4.1
06/01/2019 02:00:00,0.0,299.6,101.8,7.4,10.6,0.0,195.0,-621.1,204.0,-518.3,-61.7,771.7,1072.2,4.1
06/01/2019 03:00:00,0.0,300.0,101.7,7.3,10.6,0.0,193.6,-617.0,201.3,-516.4,-62.6,768.2,1057.4,4.1
06/01/2019 04:00:00,0.0,299.7,101.3,7.4,10.6,0.0,193.5,-617.2,200.2,-519.2,-62.3,768.4,1056.1,4.1
06/01/2019 05:00:00,0.0,299.7,101.9,7.3,10.5,0.0,192.9,-622.1,199.7,-524.7,-65.6,768.4,1054.3,4.1
06/01/2019 06:00:00,0.0,268.9,95.0,7.2,9.6,0.0,191.4,-583.8,197.5,-490.1,-63.8,744.1,949.7,4.3
06/01/2019 07:00:00,0.0,226.0,82.5,7.5,7.6,0.0,195.3,-465.7,205.3,-380.6,-45.8,671.5,703.4,4.3
06/01/2019 08:00:00,0.0,260.6,92.9,7.5,9.0,0.0,196.5,-550.1,198.7,-452.4,-52.5,724.0,882.3,4.2
06/01/2019 09:00:00,0.0,261.6,93.4,7.5,8.9,0.0,196.3,-557.4,200.0,-461.3,-55.0,728.8,895.2,4.3
06/01/2019 10:00:00,0.0,260.6,93.1,7.5,9.0,0.0,194.8,-542.7,198.2,-448.4,-45.6,717.9,865.4,4.2
06/01/2019 11:00:00,0.0,260.4,92.8,7.5,8.8,0.0,193.5,-520.4,196.6,-431.9,-40.1,700.9,808.1,4.1
06/01/2019 12:00:00,0.0,263.8,93.4,7.5,8.7,0.0,193.5,-535.3,194.2,-444.7,-42.0,714.1,853.9,4.1
06/01/2019 13:00:00,0.0,278.6,97.7,7.5,9.3,0.0,194.4,-563.9,196.5,-470.7,-43.1,732.2,922.1,4.1
06/01/2019 14:00:00,0.0,278.4,97.0,7.0,9.3,0.0,193.9,-575.9,197.3,-484.0,-48.8,742.5,955.4,4.1
06/01/2019 15:00:00,0.0,278.3,96.7,7.0,9.1,0.0,194.0,-582.9,200.1,-490.3,-50.7,745.4,962.6,4.2
06/01/2019 16:00:00,0.0,278.4,96.9,7.0,9.6,0.0,191.6,-580.1,203.4,-487.4,-48.2,742.0,951.1,4.1
06/01/2019 17:00:00,0.0,278.7,97.2,7.0,9.4,0.0,190.8,-577.5,199.5,-484.5,-47.8,739.5,942.0,4.1
06/01/2019 18:00:00,0.0,278.4,97.2,7.0,9.6,0.0,192.0,-576.9,198.4,-482.2,-50.6,742.3,951.7,4.1
06/01/2019 19:00:00,0.0,277.9,97.0,7.0,9.6,0.0,192.8,-574.4,198.8,-480.3,-53.9,741.9,953.8,4.1
06/01/2019 20:00:00,0.0,278.6,97.3,7.0,9.6,0.0,193.5,-575.9,199.9,-482.5,-53.2,741.9,951.5,4.1
06/01/2019 21:00:00,0.0,278.4,97.1,6.9,9.6,0.0,193.4,-578.2,198.6,-486.2,-53.4,743.3,956.5,4.1
